Site_Name,Latitude,Longitude,Site_type,Elevation in feet,Prec (chelsa),Temp (chelsa aprile),RecAvgIndex
232,44.76397,-71.73825,still water,1183,836,52,2.09488621311807
233,44.7578,-71.73825,still water,1150,875,51,-0.57952874715633
234,43.68512,-73.22453,still water,640,1015,74,-0.148278818443775
235,43.83549,-73.38134,still water,94,765,82,-0.318792211548858
236,44.9676,-73.2703,running water,105,905,73,-0.499703783615672
237,45.0003,-73.2682,still water,106,911,72,-0.534418117721415
238,44.3967,-72.3853,still water,1416,1202,53,-0.60240383508777
239,44.60759,-72.50249,still water,1223,1358,55,-0.603274202563068
240,44.27657,-72.3387,still water,1697,1216,48,0.439015512488047
241,44.73782,-71.67196,still water,1033,807,54,-0.642761247196586
242,44.05966,-73.14688,running water,265,884,77,-0.475503107200024
243,42.79003,-73.20694,still water,1250,1260,72,1.45994174090109
244,44.5808,-73.1843,still water,113,932,76,-0.476186330989207
245,44.84709,-71.79442,still water,1400,936,48,-0.490188124884751
246,43.05641,-73.03549,still water,2378,1439,50,-0.57798794827643
247,44.30513,-72.44477,still water,725,832,66,0.025218392917865
248,43.84108,-72.18369,still water,385,765,74,-0.596989659562932
249,43.71535,-72.30787,still water,528,770,74,-0.421965743156959
250,43.72539,-72.28136,still water,417,782,74,-0.739013723718057
251,43.72495,-72.28169,still water,427,782,74,-0.455792690179323
252,44.7592,-71.7151,still water,1128,931,52,-0.543958610145429
253,44.70659,-73.28797,running water,105,797,75,-0.58717421666483
254,43.8009,-72.25902,still water,475,780,73,-0.05929505005573
255,44.31,-72.28084,still water,1462,1056,52,2.02571894686226
256,43.63925,-72.47375,running water,656,855,72,-0.056068613960739
257,44.06972,-73.21139,running water,150,967,78,4.34967522949727
258,44.00975,-72.11787,still water,471,786,68,0.62427077743162
259,44.50248,-72.63723,still water,745,962,64,-0.441597695579856
260,44.67186,-71.65627,running water,1200,837,51,-0.404702050707244
261,44.6819,-71.6416,running water,1162,848,52,2.81240377483158
262,44.29325,-72.23383,still water,1544,1108,52,3.71447084192827
263,44.28962,-72.22526,still water,1528,1108,52,-0.448358022185992
264,44.82867,-71.71305,still water,1240,924,50,-0.22152112369496
265,44.80721,-73.31145,still water,99,884,74,-0.324532966474655
266,44.82331,-73.30936,still water,130,874,74,-0.615715109454076
267,44.8773,-72.0528,still water,1135,964,53,-0.74948106742404
268,44.32528,-72.31999,still water,1300,1192,53,-0.171188663545525
269,43.44104,-73.13855,still water,1406,1163,62,-0.148131910893773
270,43.9997,-72.6083,still water,1480,1177,56,-0.26704223827877
271,44.36278,-71.95024,still water,787,846,63,-0.536706218224713
272,44.72018,-71.98552,still water,1834,1176,42,-0.688251106368991
273,43.5174,-73.2399,still water,426,804,80,2.2520353880677
274,43.47673,-73.19703,still water,533,1089,77,-0.478628699517956
275,43.58163,-73.41957,still water,100,774,85,-0.45563216455264
276,43.50848,-73.17842,running water,638,1020,76,-0.328862568504441
277,43.62709,-73.30806,running water,150,1020,81,3.84234286609828
278,43.56555,-73.2595,running water,380,864,81,1.8838933771829
279,43.48286,-73.0848,running water,1114,1160,67,2.56712990032618
280,43.62398,-73.36472,running water,110,797,82,1.39208607498696
281,43.5147,-73.2473,running water,396,781,80,0.789467662293129
282,42.802,-73.1915,still water,1123,1127,75,2.72141348857269
283,42.7918,-73.2646,still water,578,798,84,-0.468320935768484
284,43.58028,-73.245,still water,538,1069,77,-0.561014573192269
285,43.22908,-72.45586,still water,600,860,77,-0.366028036147925
286,44.26155,-72.21045,still water,1245,874,55,1.37979328467377
287,44.87661,-72.29314,still water,700,1065,52,-0.500098764164118
288,43.8717,-73.2681,still water,269,966,79,-0.212494150358841
289,44.24096,-72.24909,still water,1053,778,55,-0.497001583320899
290,43.05033,-73.0837,running water,1808,1430,52,-0.656796521819639
291,43.85655,-72.43983,still water,1454,1133,58,0.965668434226605
292,44.98844,-73.08833,running water,105,1014,72,-0.443724654450609
293,44.5677,-71.79771,still water,1400,795,50,-0.423032832029166
294,44.07795,-72.58833,still water,1350,926,56,0.959012873524245
295,42.81447,-72.8442,still water,1656,1268,63,-0.244865455809935
296,42.78813,-72.87772,still water,1711,1273,65,-0.190754015019119
297,44.919,-72.09999,running water,958,971,55,-1.4304693016068
298,43.8656,-73.1475,still water,378,907,78,0.595100172565232
299,43.1476,-73.2032,still water,782,909,75,-0.581403971733412
300,44.9133,-72.27006,still water,956,1000,56,-0.441166132451805
301,43.19632,-72.71722,still water,1826,1257,57,-0.672439304603747
302,43.84,-73.079,still water,545,1037,73,-0.081595451728697
303,44.6485,-72.53412,still water,1256,1362,53,-0.683474799008568
304,44.9119,-71.9862,still water,1287,1053,49,-0.426576521436577
305,43.02322,-73.18272,still water,850,789,77,-0.473802838670006
306,43.0379,-73.1742,still water,787,776,78,-0.57135202755359
307,44.5236,-73.153,still water,307,974,73,-0.788701764991758
308,44.377,-73.162,still water,340,966,73,0.007472571352321
309,44.058294,-73.28047,still water,1077,1233,63,0.047534981804512
310,44.62691,-73.27662,still water,122,885,75,-0.667278185075391
311,44.61311,-73.29151,still water,103,894,75,-0.246784595960858
312,44.61917,-73.29125,still water,130,919,75,-0.358131845863086
313,43.69324,-72.3237,still water,600,796,73,-0.655973923405687
314,42.8061,-73.19,still water,1122,1127,75,-0.625958763516367
315,44.8013,-71.85133,still water,1180,857,52,-0.494294907727128
316,43.7654,-73.2805,still water,630,1121,73,-0.099983569357346
